,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG
81,Bluebird Chelsea,11994.42,13180.620000000003,Dinner,Full Site,Revenue,1186.2000000000025,9.889598663378491,lime,Totals,,,,,,,,,,,
82,Avenue,5425.119999999999,741.56,Dinner,Full Site,Revenue,-4683.5599999999995,-86.33099360014157,Red,Totals,,,,,,,,,,,
83,Aster,7830.260000000002,1451.8400000000004,Dinner,Full Site,Revenue,-6378.420000000002,-81.45859779879595,Red,Totals,,,,,,,,,,,
84,20 Stories,17706.090000000007,14573.439999999995,Dinner,Full Site,Revenue,-3132.6500000000124,-17.692500151078026,Red,Totals,,,,,,,,,,,
85,100 Wardour Street,4542.139999999999,0.0,Dinner,Full Site,Revenue,-4542.139999999999,-100.0,Red,Totals,,,,,,,,,,,
86,White City,321.0,74.0,All Shifts,Full Site,Covers,-247.0,-76.94704049844236,Red,Totals,,,,,,,,,,,
87,Trinity,267.0,260.0,All Shifts,Full Site,Covers,-7.0,-2.6217228464419478,Red,Totals,,,,,,,,,,,
88,Skylon,605.0,456.0,All Shifts,Full Site,Covers,-149.0,-24.628099173553718,Red,Totals,,,,,,,,,,,
89,Sartoria,457.0,76.0,All Shifts,Full Site,Covers,-381.0,-83.36980306345733,Red,Totals,,,,,,,,,,,
90,Radici,58.0,43.0,All Shifts,Full Site,Covers,-15.0,-25.862068965517242,Red,Totals,,,,,,,,,,,
91,Quaglinos,308.0,165.0,All Shifts,Full Site,Covers,-143.0,-46.42857142857143,Red,Totals,,,,,,,,,,,
92,Plateau,242.0,22.0,All Shifts,Full Site,Covers,-220.0,-90.9090909090909,Red,Totals,,,,,,,,,,,
93,Paternoster Chophouse,369.0,188.0,All Shifts,Full Site,Covers,-181.0,-49.05149051490515,Red,Totals,,,,,,,,,,,
94,Orrery,124.0,84.0,All Shifts,Full Site,Covers,-40.0,-32.25806451612903,Red,Totals,,,,,,,,,,,
95,New Street Warehouse,358.0,31.0,All Shifts,Full Site,Covers,-327.0,-91.34078212290503,Red,Totals,,,,,,,,,,,
96,Madison,376.0,612.0,All Shifts,Full Site,Covers,236.0,62.76595744680851,lime,Totals,,,,,,,,,,,
97,Le Pont de la Tour,225.0,26.0,All Shifts,Full Site,Covers,-199.0,-88.44444444444444,Red,Totals,,,,,,,,,,,
98,Launceston Place,29.0,0.0,All Shifts,Full Site,Covers,-29.0,-100.0,Red,Totals,,,,,,,,,,,
